Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2025-04-08 02:08:57,false,"Pacing Monster 300","40.50","5,578","15:59:33","118","165","4.1","90","248","23:42","7:33","2,813","1,792","0.75","0.0","91,252","64.4","No","00:11:23","14","98.6","12:07:45","15:59:34","2,395","3,680"
Running,2025-04-07 17:48:11,false,"Tucson Running","3.59","429","00:49:11","135","167","2.7","130","234","13:43","7:54","5","122","0.90","0.0","6,530","78.8","No","00:09:24.5","2","84.2","00:46:33","00:49:11","2,321","2,444"
Running,2025-04-01 11:18:34,false,"Tucson Running","2.47","308","00:26:30","142","157","2.6","146","223","10:45","8:20","32","109","1.02","0.0","3,930","77.0","No","00:26:30","1","80.6","00:24:19","00:26:30","2,344","2,426"
Running,2025-03-28 16:29:38,false,"Tucson Running","4.89","595","00:51:41","146","175","3.3","148","165","10:34","6:59","116","114","1.02","0.0","7,782","84.2","No","00:20:28","2","96.8","00:49:07","00:51:41","2,356","2,446"
Running,2025-03-26 15:38:31,false,"Tucson - Recovery","4.16","515","00:42:28","144","160","3.1","156","236","10:12","7:41","123","102","1.01","0.0","6,664","86.0","No","00:16:28","2","98.6","00:41:55","00:45:12","2,381","2,436"
Running,2025-03-24 15:48:24,false,"Tucson Running","9.70","1,243","01:46:00","156","182","3.9","151","247","10:56","7:12","159","164","0.98","0.0","16,140","87.8","No","00:04:42.6","4","96.8","01:42:48","01:46:00","2,323","2,430"
Running,2025-03-22 09:56:41,false,"Tucson Running","0.33","43","00:03:42.7","115","125","0.9","143","167","11:11","7:59","7","7","1.01","0.0","550","78.8","No","00:03:42.7","1","80.6","00:03:33","00:04:17.4","2,428","2,436"
Running,2025-03-19 16:23:23,false,"Tucson Running","3.82","476","00:37:30","155","173","3.3","157","169","9:49","6:59","81","102","1.05","0.0","5,890","73.4","No","00:06:38.9","2","82.4","00:37:10","00:37:30","2,384","2,436"
Running,2025-03-18 15:58:06,false,"Tucson Running","3.15","397","00:31:00","159","175","3.2","160","212","9:50","7:11","119","75","1.02","0.0","4,962","69.8","No","00:00:46.1","2","80.6","00:30:59","00:31:00","2,392","2,451"
Running,2025-03-16 09:18:18,false,"Tucson Running","0.37","40","00:05:00.1","123","136","0.4","136","167","13:31","9:49","7","24","0.88","0.0","716","69.8","No","00:05:00.1","1","73.4","00:04:22","00:05:00.1","2,369","2,395"
Running,2025-03-16 07:30:35,false,"Tucson Running","0.40","51","00:04:45.3","130","147","0.7","152","170","11:57","10:25","27","7","0.89","0.0","732","71.6","No","00:04:45.3","1","77.0","00:04:40","00:05:06.0","2,372","2,404"
Running,2025-03-11 15:14:00,false,"Tucson Running","3.69","450","00:37:19","147","164","3.0","149","165","10:07","7:49","26","116","1.07","0.0","5,700","78.8","No","00:05:33.2","2","86.0","00:35:23","00:37:19","2,338","2,449"
Running,2025-03-10 16:51:52,false,"Tucson Running","10.03","1,257","01:47:00","151","171","3.8","153","212","10:40","5:28","173","186","0.98","0.0","16,584","77.0","No","00:07:57.4","4","89.6","01:42:51","01:47:02","2,290","2,426"
Running,2025-03-09 16:24:20,false,"Tucson Running","3.20","386","00:30:01","153","186","3.3","154","229","9:22","4:36","86","100","1.11","0.0","4,616","78.8","No","00:01:40.5","2","86.0","00:30:01","00:30:01","2,400","2,441"
Running,2025-03-05 16:14:49,false,"Tucson Running","7.00","885","01:07:00","152","187","4.2","150","236","9:34","6:09","100","99","1.12","0.0","10,194","75.2","No","00:08:16.7","3","82.4","01:03:41","01:09:07","2,331","2,428"
Running,2025-03-04 12:30:02,false,"Tucson Running","2.81","344","00:26:00","145","171","3.3","150","217","9:15","5:22","90","79","1.16","0.0","3,940","71.6","No","00:26:00","1","80.6","00:24:51","00:26:01","2,394","2,426"
Trail Running,2025-03-01 06:22:19,false,"Pima County Trail Running","0.60","61","00:06:55.2","118","136","0.7","146","219","11:34","8:57","28","149","0.95","0.0","1,002","60.8","No","00:06:55.2","1","62.6","00:06:50","00:06:55.2","5,164","5,316"
Trail Running,2025-02-28 18:05:41,false,"Pima County Trail Running","3.37","426","00:36:13","145","170","3.0","151","168","10:45","9:11","298","311","1.00","0.0","5,504","66.2","No","00:02:54.7","2","73.4","00:34:50","00:38:00","4,983","5,283"
Running,2025-02-25 16:30:05,false,"Tucson Running","1.21","151","00:12:40","150","166","2.2","157","167","10:29","8:46","22","23","0.98","0.0","2,004","84.2","No","00:12:40","1","87.8","00:12:40","00:12:40","2,416","2,446"
Running,2025-02-24 15:25:24,false,"Tucson Running","2.72","324","00:30:01","138","152","2.5","154","163","11:03","9:18","67","63","0.95","0.0","4,666","84.2","No","00:30:01","1","93.2","00:29:34","00:30:01","2,423","2,484"
Running,2025-02-22 11:57:34,false,"Tucson Running","2.25","265","00:26:21","130","147","2.1","157","220","11:42","9:45","23","70","0.88","0.0","4,164","75.2","No","00:26:21","1","84.2","00:26:20","00:26:21","2,383","2,437"
Running,2025-02-21 12:51:50,false,"Tucson Running","10.29","1,300","01:47:00","159","182","4.1","153","226","10:24","7:39","233","226","1.01","0.0","16,522","75.2","No","00:11:26","4","89.6","01:44:57","01:47:00","2,333","2,472"
Running,2025-02-20 15:46:40,false,"Tucson Running","5.81","723","00:58:00","150","188","3.8","149","171","9:59","6:21","99","112","1.08","0.0","8,742","75.2","No","00:26:16","2","86.0","00:55:08","00:58:00","2,326","2,428"
Running,2025-02-18 12:34:28,false,"Tucson Running","2.89","351","00:30:01","143","164","3.0","152","165","10:23","6:47","93","65","1.02","0.0","4,644","77.0","No","00:30:01","1","87.8","00:29:49","00:30:01","2,400","2,450"
Running,2025-02-17 13:21:27,false,"Tucson - Base","3.69","445","00:34:00","155","173","3.5","154","167","9:14","7:37","92","87","1.13","0.0","5,304","78.8","No","00:01:00.1","3","86.0","00:33:28","00:35:09","2,422","2,473"
Trail Running,2025-02-08 08:00:31,false,"Black Canyon 100k","62.51","7,801","15:40:47","145","180","5.0","128","250","15:03","7:51","5,776","7,808","0.83","0.0","122,700","55.4","No","00:02:27.2","34","91.4","14:02:45","15:41:47","1,793","4,184"
Running,2025-02-05 15:37:16,false,"Tucson Running","5.00","639","00:51:45","151","169","3.4","149","165","10:21","6:52","81","112","1.04","0.0","7,780","78.8","No","00:19:26","2","86.0","00:49:14","00:51:45","2,329","2,442"
Running,2025-02-02 11:21:11,false,"Tucson Running","5.10","667","00:53:01","156","180","3.5","147","236","10:24","6:23","1,048","1,013","1.05","0.0","7,950","73.4","No","00:19:42","2","86.0","00:50:08","00:53:01","2,325","2,480"
Running,2025-01-29 11:57:22,false,"Tucson Running","1.05","144","00:12:01","147","171","2.2","134","167","11:28","8:20","49","--","1.05","0.0","1,608","64.4","No","00:12:01","1","84.2","00:09:53","00:12:01","2,372","2,425"
Running,2025-01-29 10:23:47,false,"Tucson Running","1.04","127","00:10:30","135","146","2.1","151","167","10:08","8:11","22","29","1.05","0.0","1,606","60.8","No","00:10:30","1","71.6","00:09:53","00:10:30","2,425","2,439"
Trail Running,2025-01-18 10:53:55,false,"Pima County Trail Running","4.15","584","01:06:55","136","162","2.5","129","241","16:08","8:23","809","778","0.78","0.0","9,000","73.4","No","00:17:21","2","82.4","01:01:51","01:06:55","2,628","3,084"
Running,2025-01-18 10:18:02,false,"Pima County Running","0.39","44","00:03:35.6","142","161","1.0","153","169","9:17","7:53","13","29","1.13","0.0","548","73.4","No","00:03:35.6","1","75.2","00:03:34","00:03:35.6","2,621","2,646"
Running,2025-01-15 16:16:42,false,"Tucson Running","5.94","774","01:10:01","151","169","3.0","153","220","11:47","9:51","98","71","0.89","0.0","10,784","68.0","No","00:34:56","2","78.8","01:08:39","01:10:01","2,421","2,499"
Running,2025-01-14 16:29:52,false,"Tucson Running","6.41","772","00:59:00","144","180","4.1","145","185","9:13","5:17","100","92","1.20","0.0","8,648","68.0","No","00:04:48.3","3","77.0","00:54:38","00:59:00","2,324","2,427"
